asin,title,price_eur,rating,reviews,product_url,image_url
B0FW5LZYTG,"Acer Aspire 17 | Laptop | Intel Core 7 | 16GB | 512GB | mit Netzteil | 17"" FHD IPS Display | Intel Core 7 150U | 16GB RAM | 512GB SSD | Intel Grafik | Windows 11 | QWERTZ Tastatur | A17-51M-77PV",5496.29,4.6,168.0,,https://m.media-amazon.com/images/I/71n1cFODugL._AC_UY218_.jpg
B0DG2T77DC,Dell Business Laptop Notebook Latitude 3190 Pentium N5030 4GB 128GB SSD 1366x768 Touchscreen Windows 11 (Generalüberholt),1177.01,4.0,36.0,,https://m.media-amazon.com/images/I/61imjRnHPnL._AC_UY218_.jpg
B0FJTVG363,"Acer Aspire Go 15 | Laptop | Core 7 | 16GB | 1TB | mit Netzteil | 15,6"" FHD IPS Display | Intel Core 7 150U | 16GB RAM | 1TB SSD | Intel Grafik | Windows 11 | QWERTZ Tastatur | AG15-72P-792F",5103.63,4.4,28.0,,https://m.media-amazon.com/images/I/71-+hjZgBlL._AC_UY218_.jpg
B0B2RDTY4P,"Lenovo 15,6 Zoll Full-HD Notebook - Intel N4500 2x2.80 GHz, 8GB DDR4, 512 GB SSD, Intel UHD, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 11 Prof. 64 Bit Laptop - #7003",2614.68,4.2,2372.0,,https://m.media-amazon.com/images/I/51LkNOI6+lL._AC_UY218_.jpg
B0DS5N6MWW,"ASUS Vivobook 18 M1807HA Laptop | 18"" WUXGA 16:10 IPS Display | AMD Ryzen 7 260 | 16GB RAM | 1TB SSD | AMD Radeon 780M | Win11 Home | QWERTZ | Quiet Blue (AC Adapter Sold Separately)",6038.16,4.5,66.0,,https://m.media-amazon.com/images/I/616vzLQsfTL._AC_UY218_.jpg
B0FHQTJF29,HP OmniBook 3 Next Gen AI PC 15-fn0523ng | Copilot+ PC | 15.6 Zoll FHD Display (1920 x 1080) | AMD Ryzen AI 5 330 (50 NPU-Tops) | 16GB RAM | 512GB SSD | QWERTZ Tastatur | Windows 11 Home | Silber,4153.71,3.6,16.0,,https://m.media-amazon.com/images/I/71na9ST8e9L._AC_UY218_.jpg
B0G4LF8B86,"Laptop 15,6 Zoll, 16 GB RAM 512 GB SSD, N95-CPU (bis zu 3,4 GHz), hintergrundbeleuchteter Tastatur-Laptop, Win11 Laptops, Typ-C, 5G WiFi, BT 5.0, Typ-C, HDMI, USB, Maus inkl.",2335.86,4.0,141.0,,https://m.media-amazon.com/images/I/71p9E0o0HxL._AC_UY218_.jpg
B0HF4PYLXW,"Auusda Laptop 16 Zoll Notebook, 16 GB RAM, 512 GB SSD, Prozessor R5 3500U(stärker als i5-13420H, bis zu 3.7GHz) FHD Display, Fingerabdrucksensor, BT5.3, Wifi6, Full-Function Type-C",3297.82,5.0,2.0,,https://m.media-amazon.com/images/I/71kjNfGM4mL._AC_UY218_.jpg
B0GMR9FCWZ,"Lenovo IdeaPad Slim 3 | Laptop | Ryzen 5 | 16GB | 512GB | Ohne Netzteil | 15.3"" WUXGA Display | AMD Ryzen 5 150 | 512GB SSD | 16GB RAM | AMD Radeon 660M Grafik | QWERTZ | Windows 11 | Grau",4711.04,5.0,1.0,,https://m.media-amazon.com/images/I/51Zi2V8r64L._AC_UY218_.jpg
B0FXMWTDVP,"Acer Aspire 17 | Laptop | Intel Core 5 | 32GB | 1TB | mit Netzteil | 17"" FHD IPS Display | Intel Core 5 120U | 32GB RAM | 1TB GB SSD | Intel Grafik | Windows 11 | QWERTZ Tastatur | A17-51M-52TS",6901.89,4.5,98.0,,https://m.media-amazon.com/images/I/71n1cFODugL._AC_UY218_.jpg
B09BJQLYKM,"ASUS Chromebook CX14 CX1405CTA-NK0438 | Laptop | N150 | 4GB | 128GB | 14"" FHD | Intel N150 | Intel UHD | 4GB RAM | 128GB eMMC | ChromeOS | QWERTZ | ohne Netzteil",1955.09,4.3,74.0,,https://m.media-amazon.com/images/I/71uEhneF4HL._AC_UY218_.jpg
B0GR6877WY,"Apple 13"" MacBook Neo Laptop mit A18 Pro Chip: Entwickelt für KI und Apple Intelligence, Liquid Retina Display, 8 GB gemeinsamem Arbeitsspeicher, 256 GB SSD Speicher, 1080p FaceTime HD Kamera; Indigo",5252.91,4.7,304.0,,https://m.media-amazon.com/images/I/61q6XUpxQkL._AC_UY218_.jpg
B0H1427K3T,"2026 Laptop Computer Notebook QWERTY mit Deutscher Tastaturfolie,15.6"" IPS FHD Display,8GB RAM 256GB SSD,Celeron N5100,WiFi5,BT5.0,USB3.0,Beleuchtete Tastatur,Fingerprint für Büro & Studenten,Silber",2355.45,4.0,203.0,,https://m.media-amazon.com/images/I/71Tk8JBCxvL._AC_UY218_.jpg
B0H5JKDB98,"jumper 2026 Gaming Laptop 17,6 Zoll IPS 1920X1200, 16GB DDR4 RAM 512GB SSD, AMD R5 3500U(bis zu 3,7GHz), Leuchtende Tastatur, Leichte Business und Studenten Notebook, Vollfunktionale Typ-C/HDMI/WiFi6",4553.84,4.6,35.0,,https://m.media-amazon.com/images/I/81pF2z5BafL._AC_UY218_.jpg
B0GD84F9FS,"Lenovo IdeaPad Slim 5 | Laptop | Intel Ultra 9 | 32GB | 1TB | Ohne Netzteil | 14"" WUXGA OLED Display | Intel Core Ultra 9 185H,16C | 1TBSSD | 32GB RAM | Intel Arc Grafik | QWERTZ | Windows 11 | Grau",8479.94,4.1,111.0,,https://m.media-amazon.com/images/I/51-Qyt7Fw4L._AC_UY218_.jpg
